TXDateTime,EffectDate,Type,Pool,CCY,Amount,UserAddr,PoolAddr,BlockHeight,TXHash,Status
2015-06-25T04:16:26Z,2015-06-25,WdOrder1,A,NBT,0.01,BJCu7UVDKDcB5BKEG7AmAJBHvhxHTn8c8t,BGNbLajr7tSD5LEqYmG2hztzciPhmjf4eX,410531,5548757a272832aa343e44b5496118fbd24e508d87b190d09deb97803bb3aa19,Confirmed
2015-06-24T13:45:08Z,2015-06-25,Deposit,A,NBT,1400,BGqKANcWPr6fR1NHANJ92kUkUtu2h9GGkV,BGNbLajr7tSD5LEqYmG2hztzciPhmjf4eX,409626,6dfb2ccbcdd6cdc85b92e6f22504e8cd0035280306d7bbf8d61991b9b493e3f5,Confirmed
2015-06-24T13:33:54Z,2015-06-25,Deposit,A,NBT,3000,BFf7oziJHHvEZSDPUqAgAQ33XY8wGxZ8NN,BGNbLajr7tSD5LEqYmG2hztzciPhmjf4eX,409610,23c4270d78b0faaab42c43b842ee057560388829917cffd051f3054e6f9312f1,Confirmed
2015-06-24T17:49:37Z,2015-06-25,Deposit,A,BTC,4,1PmknHjezBa3sc9xjcsVGEwU2ndALAZNGX,1PwUThmFLvUHp4WYoeDL15GggrHkD3Capw,362358,96bffb888b71c52fbb2228df5b3594032a7cd3672297774fb4a9d3e5f9ac6876,Confirmed
2015-06-23T23:48:46Z,2015-06-25,WdOrder1,A,BTC,0.0001,12NY5WmSiQG19LBo5jGtWxJkhXTt52mHKq,1PwUThmFLvUHp4WYoeDL15GggrHkD3Capw,362244,3b989c480b9c87434876ce04e24603c36ac5fe32199a37bead8f7eb96e9eafd3,Confirmed
2015-06-21T08:00:03Z,2015-06-25,Deposit,A,BTC,4,1Eq5pDojfRwJ3LahE7x6PU7Y1fiiFysLqM,1PwUThmFLvUHp4WYoeDL15GggrHkD3Capw,361869,fa243119f4b25404f1c4317576fb1dd26faa847a2a0f88ec269611ad19ddefc3,Confirmed
2015-06-18T14:31:53Z,2015-06-25,Deposit,C,NBT,2000,BQuQX8BiXofvLf4Jn7i1iyjQJbV8iPBDaU,BAFCWvEdNWrvMKf8JNA5SFYMR8Zvy7f6oH,401551,fe03e9556ce1cd49582956b160ff385227441e3596870fc57c580d88280294f6,Confirmed
2015-06-24T13:38:41Z,2015-06-25,Deposit,D,NBT,1500,BNTpTQA9H4VXFSox1WsaoPYuib6XxUGcYZ,BBiHdUVB8Sndf1tCNfBNpRZx53pK7Go8JK,409616,83121cb9489b817d045348edeb8b6e788c28092c1f30b5ec797955eccc4ae905,Confirmed
2015-06-20T16:22:19Z,2015-06-25,Deposit,D,NBT,1000,BPvon97rscWsgBjeDycwwPKWtmXxr3PC6T,BBiHdUVB8Sndf1tCNfBNpRZx53pK7Go8JK,404719,8264e410850033085d803b8f36e79258b724ecd9b3ae162756207af78f987e52,Confirmed
2015-06-18T14:30:52Z,2015-06-25,Deposit,D,NBT,4000,BC6uQNAfDyDP7EQuk2eXH5gAh9VBjGmNv1,BBiHdUVB8Sndf1tCNfBNpRZx53pK7Go8JK,401548,ceabac0dd8b7da0f16419c895700a6a646377f7b43955ea174997a22ba368b76,Confirmed
2015-06-20T15:45:35Z,2015-06-25,Deposit,D,BTC,4,1NK3UPasZPKEjkmeB2dJF6q21nBmJxdeKs,19eGo6grxSqXSQqugw3N7NxKopggWzEyec,361782,8fa0db36802ba25a7258019ee5171f9b55c22e0d836cab1d265386e4de75deeb,Confirmed
2015-06-25T11:27:41Z,2015-06-25,Withdraw1,A,NBT,-2383.39,BJCu7UVDKDcB5BKEG7AmAJBHvhxHTn8c8t,BGNbLajr7tSD5LEqYmG2hztzciPhmjf4eX,410972,0cc674c3cc2ebc55d471917567c24deadc99d8fb4c4557e9a108a3a3305868f8,Confirmed
2015-06-25T11:45:13Z,2015-06-25,Withdraw1,A,BTC,-5.7219,12NY5WmSiQG19LBo5jGtWxJkhXTt52mHKq,1NfmHm5RVTjkER2n3zGuMbRkeotJmkBrLj,362479,0ed5590efbba52adcad0a393a2bca8531c47599b2628e3a262081a9a8b7d208c,Confirmed
